,Position,Track Name,Artist,Streams,URL,Date,Region,time_signature
100,101,Se Acabó,Sanluis,2079,https://open.spotify.com/track/7BHNaG7YZHjGbAAqIHQzNf,2017-01-01,ec,4
101,102,Que Raro,Feid,2071,https://open.spotify.com/track/3kg9JvQe6QJFKUQCN1oIQz,2017-01-01,ec,4
102,103,The Greatest,Sia,2038,https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1,2017-01-01,ec,4
103,104,Quiero Que Sepas,Juan Magán,2035,https://open.spotify.com/track/0fm7fJ4aZv6Wx0klIcyXPz,2017-01-01,ec,4
104,105,Just Hold On,Steve Aoki,1982,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-01-01,ec,4
105,106,Photograph,Ed Sheeran,1981,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,2017-01-01,ec,4
106,107,Pa Que Me Invitan - Spanglish Version,Jencarlos,1962,https://open.spotify.com/track/2VRssqds7rRNb4eaG9FaY8,2017-01-01,ec,4
107,108,Acércate (feat. Nicky Jam) - Remix,De La Ghetto,1874,https://open.spotify.com/track/35OC6rMxa8lJi8eDiUVShS,2017-01-01,ec,4
108,109,Andas En Mi Cabeza - Remix,Chino & Nacho,1871,https://open.spotify.com/track/733ybNEEEXHYxfk8sK6MRO,2017-01-01,ec,4
109,110,Sorry,Justin Bieber,1861,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ,2017-01-01,ec,4
110,111,Black Beatles,Rae Sremmurd,1852,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-01,ec,4
111,112,Sofia,Alvaro Soler,1826,https://open.spotify.com/track/1VoHrSS3QQ6TbpabLrFiYb,2017-01-01,ec,4
112,113,Como Yo Le Doy - Spanglish Version,Pitbull,1822,https://open.spotify.com/track/2MRv991PzjY2ecCluXoRq9,2017-01-01,ec,4
113,114,Middle,DJ Snake,1819,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n,2017-01-01,ec,4
114,115,Obsesionado,Farruko,1818,https://open.spotify.com/track/5Jt4zdXTd9y1zxihiNYQI1,2017-01-01,ec,4
115,116,Danza Kuduro,Don Omar,1812,https://open.spotify.com/track/2a1o6ZejUi8U3wzzOtCOYw,2017-01-01,ec,3
116,117,Thinking Out Loud,Ed Sheeran,1812,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,2017-01-01,ec,4
117,118,Traidora,Gente De Zona,1801,https://open.spotify.com/track/7Fl3wSxRqBljyQH8dJSz9c,2017-01-01,ec,4
118,119,Para Enamorarte,CNCO,1791,https://open.spotify.com/track/3B21fRFqPLmTd9zAlK0I8A,2017-01-01,ec,4
119,120,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs,1780,https://open.spotify.com/track/0tICYNayWWhH9GPeFrfjfD,2017-01-01,ec,4
120,121,Lean On (feat. MØ & DJ Snake),Major Lazer,1746,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,2017-01-01,ec,4
121,122,Bajo el agua,Manuel Medrano,1743,https://open.spotify.com/track/5QSYWruQQ7kBCHScI4xJ9g,2017-01-01,ec,4
122,123,Sugar,Maroon 5,1741,https://open.spotify.com/track/494OU6M7NOf4ICYb4zWCf5,2017-01-01,ec,4
123,124,Me Reclama,Mambo Kingz,1715,https://open.spotify.com/track/4ojwGTehgBRAg52jbFgzJg,2017-01-01,ec,4
124,125,7 Years,Lukas Graham,1712,https://open.spotify.com/track/7129iqBafaphfc3WPCGC0L,2017-01-01,ec,4
125,126,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1688,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-01,ec,4
126,127,Una y otra vez,Manuel Medrano,1675,https://open.spotify.com/track/0bK3jxkbq5cDKWr68KtO8G,2017-01-01,ec,3
127,128,Ya Me Enteré,Reik,1673,https://open.spotify.com/track/0lPXFrKyl8HkdQ2E6NmNja,2017-01-01,ec,4
128,129,Amor y dolor,Carlos Baute,1672,https://open.spotify.com/track/4efQTJSX6Jca1hHZNi74Zd,2017-01-01,ec,4
129,130,Si No Te Quisiera,Juan Magán,1665,https://open.spotify.com/track/0wLqXnCLseMice1Hwq6yLz,2017-01-01,ec,4
130,131,Suavemente,Elvis Crespo,1657,https://open.spotify.com/track/7JIjUx3GsL0upxmNJacmtz,2017-01-01,ec,4
131,132,Hello,Karol G,1652,https://open.spotify.com/track/1PGENMzwUy16wlpZiuLS65,2017-01-01,ec,4
132,133,Dueles,Jesse & Joy,1638,https://open.spotify.com/track/1iRvhKiXRElIH2Uf4gd95P,2017-01-01,ec,4
133,134,Starving,Hailee Steinfeld,1628,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-01-01,ec,4
134,135,Mayor Que Yo 3,Luny Tunes,1615,https://open.spotify.com/track/0bMRpUsk1IWi5O2NIkWsqR,2017-01-01,ec,4
135,136,Bajito,Jencarlos,1599,https://open.spotify.com/track/2q5VkfuJpCHJiFkMqNsenl,2017-01-01,ec,4
136,137,Nunca Me Olvides,Yandel,1595,https://open.spotify.com/track/27ebni0DfbT5Owz6W42HP8,2017-01-01,ec,4
137,138,Caraluna,Bacilos,1594,https://open.spotify.com/track/7DhYjNLksXZhbRQeheAums,2017-01-01,ec,4
138,139,Quiero Que Vuelvas,Alejandro Fernandez,1593,https://open.spotify.com/track/2Zw7rSucHm0MIph9gmNiSn,2017-01-01,ec,4
139,140,Bailar - Radio Edit,Deorro,1585,https://open.spotify.com/track/1HCw8XKtTgWWU3JlEUR0qQ,2017-01-01,ec,4
140,141,All We Know,The Chainsmokers,1559,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-01-01,ec,4
141,142,6 AM (Remix),Enzo Ortiz,1553,https://open.spotify.com/track/3WHqVVRvPDWz033iPs04md,2017-01-01,ec,4
142,143,Tu Amor Me Hace Bien - Salsa Version,Marc Anthony,1540,https://open.spotify.com/track/12H7K15h3aC5vRCaca65el,2017-01-01,ec,4
143,144,Cuando Nos Volvamos a Encontrar,Carlos Vives,1521,https://open.spotify.com/track/59hfezbTqi7I68O4OyLfcR,2017-01-01,ec,4
144,145,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Arcangel,1499,https://open.spotify.com/track/6NSMQFKgjpQb0KkjMDYIK0,2017-01-01,ec,4
145,146,Si Ella Quisiera,Justin Quiles,1486,https://open.spotify.com/track/7cIkMEpDhT7Vpw1FHOQqKC,2017-01-01,ec,4
146,147,Te Viví,Villamizar,1484,https://open.spotify.com/track/3SBjPXmpFIIKOvce7e6OXY,2017-01-01,ec,4
147,148,Fast Car,Jonas Blue,1479,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ,2017-01-01,ec,4
148,149,Embriágame (feat. Don Omar) - Remix,Zion & Lennox,1466,https://open.spotify.com/track/1WOJTQfNUEkLlsinPP95VM,2017-01-01,ec,4
149,150,Too Good,Drake,1461,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew,2017-01-01,ec,4
150,151,What Do You Mean?,Justin Bieber,1454,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI,2017-01-01,ec,4
151,152,Flor Pálida,Marc Anthony,1454,https://open.spotify.com/track/47TyfLrGhYHHyyQWk64d0M,2017-01-01,ec,4
152,153,Tan Fácil - Urban Remix,CNCO,1454,https://open.spotify.com/track/6ZvmnulA6jJY3lvveuCz77,2017-01-01,ec,4
153,154,Mercy,Shawn Mendes,1440,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,2017-01-01,ec,4
154,155,Sin Contrato - Remix,Maluma,1433,https://open.spotify.com/track/2xNZeeqmwMPVKnD7FSQfgt,2017-01-01,ec,4
155,156,By Your Side,Jonas Blue,1427,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,2017-01-01,ec,4
156,157,Lloraras,Billo's Caracas Boys,1420,https://open.spotify.com/track/06sGPlylSN84nEQK23fZhQ,2017-01-01,ec,4
157,158,Say You Won't Let Go,James Arthur,1416,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-01,ec,4
